Derivative ID,Fragment ID,Derivative Name,Fragment Name,Derivative Crystal,Fragment Crystal,Derivative Observation,Fragment Observation,SuCOS Average Score,SuCOS Feature Score,SuCOS Volume Score,Num Recapitulated Inspiration Features,Recapitulated Inspiration Feature Fraction,Num Shared Protein Interactions,Max Eyeball
2,1,A3176a,A0278b,A71EV2A-x3176,A71EV2A-x0278,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0278_A_147_1_A71EV2A-x0541+A+147+1,0.0,0.0,0.0,0,0.0,0,
2,4,A3176a,A0515b,A71EV2A-x3176,A71EV2A-x0515,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0515_A_147_1_A71EV2A-x0395+A+148+1,0.0,0.0,0.0,0,0.0,0,
2,6,A3176a,A0365a,A71EV2A-x3176,A71EV2A-x0365,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0365_A_201_1_A71EV2A-x0526+A+147+1,0.26106922218786904,0.03867936138096154,0.4834590829947766,0,0.0,2,
2,8,A3176a,A1084a,A71EV2A-x3176,A71EV2A-x1084,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x1084_A_147_1_A71EV2A-x0488+A+147+1,0.0,0.0,0.0,0,0.0,0,
2,9,A3176a,A1081b,A71EV2A-x3176,A71EV2A-x1081,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x1081_A_201_1_A71EV2A-x1081+A+201+1,0.0,0.0,0.0,0,0.0,0,
2,11,A3176a,A0487a,A71EV2A-x3176,A71EV2A-x0487,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0487_A_250_1_A71EV2A-x0526+A+147+1,0.45925596905020083,0.17293671686146364,0.745575221238938,1,0.2,0,
2,12,A3176a,A0309a,A71EV2A-x3176,A71EV2A-x0309,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0309_A_147_1_A71EV2A-x0486+A+147+1,0.0,0.0,0.0,0,0.0,0,
2,14,A3176a,A0237a,A71EV2A-x3176,A71EV2A-x0237,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0237_A_151_1_A71EV2A-x0526+A+147+1,0.28830642363977577,0.0909598572017827,0.48565299007776885,0,0.0,0,
2,15,A3176a,A1209a,A71EV2A-x3176,A71EV2A-x1209,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x1209_A_151_1_A71EV2A-x0526+A+147+1,0.42564767306996254,0.06200963185421077,0.7892857142857143,0,0.0,0,
2,16,A3176a,A0836b,A71EV2A-x3176,A71EV2A-x0836,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0836_A_302_1_A71EV2A-x0526+A+147+1,0.0,0.0,0.0,0,0.0,0,
2,17,A3176a,A1148a,A71EV2A-x3176,A71EV2A-x1148,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x1148_A_201_1_A71EV2A-x0526+A+147+1,0.47377401213834125,0.1108852745704545,0.836662749706228,0,0.0,1,
2,18,A3176a,A0541a,A71EV2A-x3176,A71EV2A-x0541,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0541_A_147_1_A71EV2A-x0541+A+147+1,0.0,0.0,0.0,0,0.0,0,
2,19,A3176a,A0875b,A71EV2A-x3176,A71EV2A-x0875,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0875_A_147_1_A71EV2A-x0395+A+148+1,0.0,0.0,0.0,0,0.0,0,
2,20,A3176a,A0528b,A71EV2A-x3176,A71EV2A-x0528,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0528_A_201_1_A71EV2A-x3181+A+202+1,0.0,0.0,0.0,0,0.0,0,
2,21,A3176a,A0351a,A71EV2A-x3176,A71EV2A-x0351,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0351_A_301_1_A71EV2A-x0526+A+147+1,0.35439644314476293,0.23865506086839258,0.47013782542113325,1,0.125,2,
2,22,A3176a,A0922a,A71EV2A-x3176,A71EV2A-x0922,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0922_A_147_1_A71EV2A-x0526+A+147+1,0.30721259794343486,0.059248859140567135,0.5551763367463026,0,0.0,2,
2,23,A3176a,A0450a,A71EV2A-x3176,A71EV2A-x0450,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0450_A_201_1_A71EV2A-x0526+A+147+1,0.38053050788191667,0.22531520817336553,0.5357458075904677,0,0.0,2,
2,25,A3176a,A0229b,A71EV2A-x3176,A71EV2A-x0229,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0229_A_201_1_A71EV2A-x0541+A+147+1,0.0,0.0,0.0,0,0.0,0,
2,27,A3176a,A1019a,A71EV2A-x3176,A71EV2A-x1019,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x1019_A_147_1_A71EV2A-x0526+A+147+1,0.28599842246502566,0.06548796919040635,0.506508875739645,0,0.0,3,
2,31,A3176a,A1247a,A71EV2A-x3176,A71EV2A-x1247,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x1247_A_246_1_A71EV2A-x0526+A+147+1,0.4167553826338453,0.3089338111983917,0.5245769540692989,1,0.16666666666666666,2,
2,32,A3176a,A0739a,A71EV2A-x3176,A71EV2A-x0739,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0739_A_147_1_A71EV2A-x0526+A+147+1,0.21885619683951618,0.08362148458812321,0.3540909090909091,0,0.0,1,
2,34,A3176a,A1145a,A71EV2A-x3176,A71EV2A-x1145,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x1145_A_147_1_A71EV2A-x3181+A+202+1,0.0,0.0,0.0,0,0.0,0,
2,35,A3176a,A0900a,A71EV2A-x3176,A71EV2A-x0900,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0900_A_147_1_A71EV2A-x0900+A+147+1,0.0,0.0,0.0,0,0.0,0,
2,36,A3176a,A0719b,A71EV2A-x3176,A71EV2A-x0719,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0719_A_201_1_A71EV2A-x3181+A+202+1,0.0,0.0,0.0,0,0.0,0,
2,38,A3176a,A0395b,A71EV2A-x3176,A71EV2A-x0395,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0395_A_148_1_A71EV2A-x0395+A+148+1,0.0,0.0,0.0,0,0.0,0,
2,39,A3176a,A0375c,A71EV2A-x3176,A71EV2A-x0375,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0375_A_147_1_A71EV2A-x0395+A+148+1,0.0,0.0,0.0,0,0.0,0,
2,42,A3176a,A0379a,A71EV2A-x3176,A71EV2A-x0379,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0379_A_147_1_A71EV2A-x0379+A+147+1,0.0,0.0,0.0,0,0.0,0,
2,43,A3176a,A1146a,A71EV2A-x3176,A71EV2A-x1146,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x1146_A_147_1_A71EV2A-x3181+A+202+1,0.0,0.0,0.0,0,0.0,0,
2,46,A3176a,A0207a,A71EV2A-x3176,A71EV2A-x0207,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0207_A_151_1_A71EV2A-x0526+A+147+1,0.3610594038073129,0.20339634065427337,0.5187224669603524,1,0.16666666666666666,0,
2,47,A3176a,A1180a,A71EV2A-x3176,A71EV2A-x1180,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x1180_A_151_1_A71EV2A-x0526+A+147+1,0.0,0.0,0.0,0,0.0,0,
2,48,A3176a,A0228a,A71EV2A-x3176,A71EV2A-x0228,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x0228_A_147_1_A71EV2A-x0525+A+246+1,0.0,0.0,0.0,0,0.0,0,
2,49,A3176a,A1169a,A71EV2A-x3176,A71EV2A-x1169,A71EV2A-x3176_A_201_1_A71EV2A-x0526+A+147+1,A71EV2A-x1169_A_151_1_A71EV2A-x0526+A+147+1,0.5858408098925261,0.3276887925286267,0.8439928272564255,1,0.5,0,
